Date,GDP
2021-12-31,114.07207116
2021-11-30,113.63457006
2021-10-31,113.25076059
2021-09-30,113.00769381
2021-08-31,112.66597934
2021-07-31,112.31266823
2021-06-30,111.95394247
2021-05-31,111.57280159
2021-04-30,111.17542756
2021-03-31,110.84771761
2021-02-28,110.3534544
2021-01-31,109.77853515
2020-12-31,108.78704773
2020-11-30,108.30275048
2020-10-31,107.98973128
2020-09-30,108.85938222
2020-08-31,108.13037505
2020-07-31,106.81410186
2020-06-30,102.27247816
2020-05-31,101.7602363
2020-04-30,102.63929179
2020-03-31,107.26883684
2020-02-29,109.16109286
2020-01-31,110.67525207
2019-12-31,111.75947531
2019-11-30,112.55632025
2019-10-31,113.01394774
2019-09-30,112.71657081
2019-08-31,112.80760362
2019-07-31,112.8712592
2019-06-30,113.01923723
2019-05-31,112.94436359
2019-04-30,112.75833796
2019-03-31,112.3607125
2019-02-28,112.02771879
2019-01-31,111.65890898
2018-12-31,111.04523758
2018-11-30,110.7615797
2018-10-31,110.59888983
2018-09-30,110.73673324
2018-08-31,110.68130547
2018-07-31,110.61217178
2018-06-30,110.61821052
2018-05-31,110.45500622
2018-04-30,110.21143722
2018-03-31,109.80138179
2018-02-28,109.4616747
2018-01-31,109.10619423
2017-12-31,108.64345533
2017-11-30,108.32504185
2017-10-31,108.05946876
2017-09-30,107.93721187
2017-08-31,107.70946268
2017-07-31,107.46669701
2017-06-30,107.21965668
2017-05-31,106.93880168
2017-04-30,106.63487382
2017-03-31,106.26913017
2017-02-28,105.94811381
2017-01-31,105.63308181
2016-12-31,105.31666352
2016-11-30,105.01912822
2016-10-31,104.73310525
2016-09-30,104.44744379
2016-08-31,104.19280863
2016-07-31,103.95804892
2016-06-30,103.79087846
2016-05-31,103.56008433
2016-04-30,103.31338031
2016-03-31,103.02994859
2016-02-29,102.76703819
2016-01-31,102.50383127
2015-12-31,102.2069459
2015-11-30,101.96818242
2015-10-31,101.75415889
2015-09-30,101.61165803
2015-08-31,101.41202735
2015-07-31,101.20204957
2015-06-30,100.9807625
2015-05-31,100.75081218
2015-04-30,100.5112364
2015-03-31,100.23305755
2015-02-28,99.995964079
2015-01-31,99.770978374
2014-12-31,99.593999839
2014-11-30,99.366305103
2014-10-31,99.123793574
2014-09-30,98.855298257
2014-08-31,98.591528388
2014-07-31,98.321316972
2014-06-30,98.040533251
2014-05-31,97.760536812
2014-04-30,97.477196895
2014-03-31,97.130743067
2014-02-28,96.885544021
2014-01-31,96.681829322
2013-12-31,96.620307992
2013-11-30,96.424030222
2013-10-31,96.193705033
2013-09-30,95.884218099
2013-08-31,95.619633817
2013-07-31,95.35483786
2013-06-30,95.084597131
2013-05-31,94.82330265
2013-04-30,94.56572132
2013-03-31,94.316078332
2013-02-28,94.062754407
2013-01-31,93.809974739
2012-12-31,93.539819898
2012-11-30,93.301568313
2012-10-31,93.077300553
2012-09-30,92.873225841
2012-08-31,92.672268821
2012-07-31,92.480638712
2012-06-30,92.318184691
2012-05-31,92.130321523
2012-04-30,91.936898386
2012-03-31,91.797279355
2012-02-29,91.548213218
2012-01-31,91.249064052
2011-12-31,90.791360927
2011-11-30,90.4733989
2011-10-31,90.186707042
2011-09-30,89.956541877
2011-08-31,89.713447964
2011-07-31,89.482681825
2011-06-30,89.281986322
2011-05-31,89.06256859
2011-04-30,88.842171488
2011-03-31,88.654268131
2011-02-28,88.406807454
2011-01-31,88.133262572
2010-12-31,87.8140953
2010-11-30,87.503035647
2010-10-31,87.180545428
2010-09-30,86.820125038
2010-08-31,86.494648391
2010-07-31,86.177615881
2010-06-30,85.906185278
2010-05-31,85.578172717
2010-04-30,85.230735968
2010-03-31,84.854508562
2010-02-28,84.475248287
2010-01-31,84.083588673
2009-12-31,83.640105172
2009-11-30,83.253215295
2009-10-31,82.883494492
2009-09-30,82.558416661
2009-08-31,82.202428584
2009-07-31,81.843004158
2009-06-30,81.424743185
2009-05-31,81.099996212
2009-04-30,80.81336304
2009-03-31,80.347594352
2009-02-28,80.30012577
2009-01-31,80.453707978
2008-12-31,81.075794552
2008-11-30,81.430888157
2008-10-31,81.786442369
2008-09-30,82.312204348
2008-08-31,82.541369406
2008-07-31,82.643684703
2008-06-30,82.522969138
2008-05-31,82.443720735
2008-04-30,82.309758395
2008-03-31,82.094711282
2008-02-29,81.871099193
2008-01-31,81.612551292
2007-12-31,81.310896742
2007-11-30,80.988605346
2007-10-31,80.637506267
2007-09-30,80.170924626
2007-08-31,79.827216337
2007-07-31,79.519706523
2007-06-30,79.324663972
2007-05-31,79.032349515
2007-04-30,78.719031942
2007-03-31,78.392876163
2007-02-28,78.031428674
2007-01-31,77.642854385
2006-12-31,77.179827461
2006-11-30,76.772493949
2006-10-31,76.373528014
2006-09-30,75.944443304
2006-08-31,75.591077286
2006-07-31,75.274943609
2006-06-30,75.045163608
2006-05-31,74.766653611
2006-04-30,74.488534955
2006-03-31,74.274249891
2006-02-28,73.949332224
2006-01-31,73.577224208
2005-12-31,73.062025327
2005-11-30,72.667461999
2005-10-31,72.297633708
2005-09-30,71.966989952
2005-08-31,71.635794613
2005-07-31,71.318497189
2005-06-30,71.024723694
2005-05-31,70.728002588
2005-04-30,70.437959885
2005-03-31,70.179976346
2005-02-28,69.88425488
2005-01-31,69.576176249
2004-12-31,69.207130363
2004-11-30,68.910794966
2004-10-31,68.63855997
2004-09-30,68.440602194
2004-08-31,68.178935383
2004-07-31,67.903736357
2004-06-30,67.600386198
2004-05-31,67.309086931
2004-04-30,67.015219638
2004-03-31,66.73596768
2004-02-29,66.424076815
2004-01-31,66.096730404
2003-12-31,65.742594638
2003-11-30,65.392837491
2003-10-31,65.036125155
2003-09-30,64.67187214
2003-08-31,64.301688542
2003-07-31,63.924988872
2003-06-30,63.446673204
2003-05-31,63.128266334
2003-04-30,62.874668335
2003-03-31,62.76169125
2003-02-28,62.580851962
2003-01-31,62.407962514
2002-12-31,62.244117726
2002-11-30,62.086306842
2002-10-31,61.935624682
2002-09-30,61.834389592
2002-08-31,61.666226121
2002-07-31,61.473452614
2002-06-30,61.222467425
2002-05-31,61.005675084
2002-04-30,60.789473943
2002-03-31,60.559484329
2002-02-28,60.355250345
2002-01-31,60.162392317
2001-12-31,59.968504363
2001-11-30,59.80770266
2001-10-31,59.667581325
2001-09-30,59.557431697
2001-08-31,59.451702594
2001-07-31,59.359685356
2001-06-30,59.316673206
2001-05-31,59.225609779
2001-04-30,59.121788299
2001-03-31,58.981460971
2001-02-28,58.869934231
2001-01-31,58.763460283
2000-12-31,58.693502397
2000-11-30,58.573536583
2000-10-31,58.435026111
2000-09-30,58.265264566
2000-08-31,58.099194588
2000-07-31,57.924109764
2000-06-30,57.75388041
2000-05-31,57.550363155
2000-04-30,57.327428316
2000-03-31,57.078873969
2000-02-29,56.821755405
2000-01-31,56.549870701
1999-12-31,56.244748424
1999-11-30,55.957185014
1999-10-31,55.668709039
1999-09-30,55.352697695
1999-08-31,55.082363692
1999-07-31,54.831084226
1999-06-30,54.606814137
1999-05-31,54.387677617
1999-04-30,54.181629505
1999-03-31,53.983553932
1999-02-28,53.80751954
1999-01-31,53.648410459
1998-12-31,53.559245915
1998-11-30,53.394223036
1998-10-31,53.206361048
1998-09-30,52.921422052
1998-08-31,52.743560269
1998-07-31,52.5985378
1998-06-30,52.516392889
1998-05-31,52.414520366
1998-04-30,52.322958474
1998-03-31,52.236324452
1998-02-28,52.169420897
1998-01-31,52.116865046
1997-12-31,52.157845448
1997-11-30,52.074593595
1997-10-31,51.946298035
1997-09-30,51.726561939
1997-08-31,51.542976587
1997-07-31,51.34914515
1997-06-30,51.137410427
1997-05-31,50.928829719
1997-04-30,50.715745825
1997-03-31,50.468190986
1997-02-28,50.268576541
1997-01-31,50.08693473
1996-12-31,49.963518452
1996-11-30,49.787632235
1996-10-31,49.599528978
1996-09-30,49.382506209
1996-08-31,49.182495725
1996-07-31,48.982795055
1996-06-30,48.795531337
1996-05-31,48.58735494
1996-04-30,48.370393001
1996-03-31,48.13264344
1996-02-29,47.907111982
1996-01-31,47.681796545
1995-12-31,47.41532288
1995-11-30,47.221470171
1995-10-31,47.05886417
1995-09-30,46.991394579
1995-08-31,46.843364715
1995-07-31,46.67866428
1995-06-30,46.453857746
1995-05-31,46.288392819
1995-04-30,46.138833969
1995-03-31,46.012178323
1995-02-28,45.889183781
1995-01-31,45.77684747
1994-12-31,45.711094873
1994-11-30,45.593130912
1994-10-31,45.45888107
1994-09-30,45.308324917
1994-08-31,45.141518634
1994-07-31,44.958441791
1994-06-30,44.720840116
1994-05-31,44.533912859
1994-04-30,44.359405748
1994-03-31,44.202724104
1994-02-28,44.049003292
1994-01-31,43.903648635
1993-12-31,43.786922292
1993-11-30,43.643103321
1993-10-31,43.492453885
1993-09-30,43.299476751
1993-08-31,43.161789304
1993-07-31,43.043894313
1993-06-30,42.984464272
1993-05-31,42.877149825
1993-04-30,42.760623464
1993-03-31,42.64057619
1993-02-28,42.501357751
1993-01-31,42.348659148
